|Olga Smela| |Ficoñ Sp. z o.o. Sp.k.| 8724734607 01786572957704
|Damian Steinke| |Prystupa Sp. z o.o.| 6970758350 81159863323914
|Cezary Muzyk| |FPUH Graban Sp. z o.o.| 2164882604 09780578049957
|pan Marcel Kujda| |Stowarzyszenie Cyroñ-Wojak i syn s.c.| 9446446450 83864351687200
|Aniela Macheta| |Stowarzyszenie Iciek-¯ynda Sp.k.| 1311066094 17055394506334
|Marianna Knysak| |Grupa Miros-Tec³aw Sp.k.| 7271880382 57963776678579
|Aurelia Trojanek| |Fronia S.A.| 2669555178 95826865097247
|Robert Stuglik| |Lemieszek s.c.| 8788757603 65917189534562
|Fabian Sykut| |Grupa Ma³ysiak-Gula s.c.| 1883878396 75595380153816
|Gaja Gwara| |Kobza-Tomal s.c.| 6470974754 27452066180578
